nome,valor,marca,categoria,loc,ano,km_rodados
FIAT TORO,91790,FIAT,Hatch,SP,2019,0.0
FIAT MOBI,37990,FIAT,Hatch,SP,2019,0.0
FIAT UNO,46890,FIAT,Hatch,SP,2019,0.0
VOLKSWAGEN UP!,32990,VOLKSWAGEN,Hatch,SP,2015,92316.0
RENAULT SANDERO,23990,RENAULT,Hatch,SP,2013,86328.0
FIAT MOBI,31990,FIAT,Hatch,SP,2017,26754.0
RENAULT DUSTER,37990,RENAULT,Utilitário,SP,2012,59863.0
RENAULT DUSTER,42990,RENAULT,Utilitário,SP,2015,69415.0
HYUNDAI HB20,33990,HYUNDAI,Hatch,SP,2015,92835.0
HYUNDAI SANTA FE,74990,HYUNDAI,Hatch,SP,2013,101691.0
CHEVROLET PRISMA,38990,CHEVROLET,Hatch,SP,2014,127669.0
VOLKSWAGEN T-CROSS,96390,VOLKSWAGEN,Hatch,SP,2019,0.0
FIAT TORO,91790,FIAT,Hatch,SP,2019,0.0
VOLKSWAGEN TIGUAN ALLSPACE,135990,VOLKSWAGEN,Hatch,SP,2019,0.0
VOLKSWAGEN FOX,34890,VOLKSWAGEN,Hatch,SP,2014,58749.0
HONDA HR-V,74890,HONDA,Hatch,SP,2017,47100.0
CHEVROLET ONIX,35900,CHEVROLET,Hatch,SP,2018,41450.0
CITROEN C3,22900,CITROEN,Hatch,SP,2011,77800.0
FORD KA,35900,FORD,Hatch,SP,2017,60000.0
VOLKSWAGEN POLO,48900,VOLKSWAGEN,Hatch,SP,2018,40800.0
NISSAN TIIDA,21900,NISSAN,Hatch,SP,2011,95875.0
VOLKSWAGEN FOX,21890,VOLKSWAGEN,Hatch,SP,2011,95025.0
CHEVROLET PRISMA,35890,CHEVROLET,Sedan,SP,2018,10559.0
FIAT PUNTO,40950,FIAT,Hatch,SP,2017,9000.0
VOLKSWAGEN VOYAGE,27690,VOLKSWAGEN,Sedan,SP,2015,60000.0
HONDA FIT,56990,HONDA,Hatch,SP,2015,133606.0
NISSAN KICKS,71430,NISSAN,Hatch,SP,2018,38949.0
VOLKSWAGEN FOX,30890,VOLKSWAGEN,Hatch,SP,2013,69000.0
VOLKSWAGEN FOX,28900,VOLKSWAGEN,Hatch,SP,2013,111800.0
HONDA FIT,48790,HONDA,Mini Van,SP,2015,15723.0
FIAT ARGO,71290,FIAT,Hatch,SP,2020,0.0
BMW X4,179990,BMW,Hatch,SP,2017,37000.0
FIAT FIORINO,11290,FIAT,Hatch,SP,1999,260000.0
HYUNDAI HB20S,44790,HYUNDAI,Hatch,SP,2017,52000.0
CHEVROLET CRUZE,72900,CHEVROLET,Esportivo,SP,2017,13000.0
VOLKSWAGEN VIRTUS,58900,VOLKSWAGEN,Sedan,SP,2018,30845.0
CHEVROLET CORSA,9900,CHEVROLET,Sedan,SP,1998,111111.0
FIAT ARGO,54990,FIAT,Hatch,SP,2020,0.0
FIAT ARGO,58390,FIAT,Hatch,SP,2019,0.0
FIAT TORO,110990,FIAT,Hatch,SP,2020,0.0
FIAT MOBI,41790,FIAT,Hatch,SP,2020,0.0
FIAT TORO,102890,FIAT,Hatch,SP,2019,0.0
FIAT MOBI,33990,FIAT,Hatch,SP,2019,0.0
FIAT STRADA,58900,FIAT,Hatch,SP,2019,0.0
FIAT TORO,91790,FIAT,Hatch,SP,2019,0.0
FIAT TORO,91790,FIAT,Hatch,SP,2019,0.0
FIAT MOBI,40990,FIAT,Hatch,SP,2019,0.0
FIAT TORO,83690,FIAT,Hatch,SP,2019,0.0
FIAT TORO,90790,FIAT,Hatch,SP,2019,0.0
FIAT CRONOS,74490,FIAT,Hatch,SP,2019,0.0
FIAT MOBI,40490,FIAT,Hatch,SP,2019,0.0
FIAT UNO,45990,FIAT,Hatch,SP,2019,0.0
FIAT TORO,134490,FIAT,Hatch,SP,2019,0.0
VOLKSWAGEN FOX,27900,VOLKSWAGEN,Hatch,SP,2012,108382.0
JEEP RENEGADE,53990,JEEP,Hatch,SP,2015,62249.0
VOLKSWAGEN JETTA,76900,VOLKSWAGEN,Sedan,SP,2017,60000.0
HONDA HR-V,75990,HONDA,Utilitário,SP,2015,60897.0
CITROEN C3,30990,CITROEN,Hatch,SP,2013,90301.0
VOLKSWAGEN UP!,30990,VOLKSWAGEN,Hatch,SP,2016,95072.0
HYUNDAI HB20,32990,HYUNDAI,Hatch,SP,2014,62958.0
HYUNDAI TUCSON,43990,HYUNDAI,Hatch,SP,2014,75087.0
FIAT IDEA,29990,FIAT,Hatch,SP,2014,135988.0
FIAT GRAND SIENA,30990,FIAT,Hatch,SP,2014,148164.0
CHEVROLET CRUZE,72900,CHEVROLET,Esportivo,SP,2017,13000.0
FIAT TORO,108390,FIAT,Hatch,SP,2019,0.0
VOLKSWAGEN SAVEIRO,80890,VOLKSWAGEN,Hatch,SP,2019,0.0
VOLKSWAGEN T-CROSS,109790,VOLKSWAGEN,Hatch,SP,2019,0.0
FIAT FIORINO,56980,FIAT,Hatch,SP,2019,0.0
VOLKSWAGEN JETTA,89390,VOLKSWAGEN,Hatch,SP,2019,0.0
LAND ROVER RANGE ROVER EVOQUE,112999,LAND ROVER,Hatch,SP,2013,54000.0
LAND ROVER RANGE ROVER EVOQUE,168999,LAND ROVER,Hatch,SP,2015,48000.0
VOLKSWAGEN POLO,75890,VOLKSWAGEN,Hatch,SP,2018,30506.0
RENAULT SANDERO,31890,RENAULT,Hatch,SP,2015,58579.0
FORD KA,49490,FORD,Hatch,SP,2019,30035.0
FORD ECOSPORT,72390,FORD,Hatch,SP,2019,0.0
PEUGEOT PARTNER,48890,PEUGEOT,Hatch,SP,2018,18683.0
VOLKSWAGEN VOYAGE,41890,VOLKSWAGEN,Hatch,SP,2018,19230.0
VOLKSWAGEN SAVEIRO,40890,VOLKSWAGEN,Hatch,SP,2018,35690.0
FORD FUSION,95990,FORD,Sedan,SP,2017,38000.0
CITROEN C3,16900,CITROEN,Hatch,SP,2008,120000.0
HYUNDAI CRETA,66790,HYUNDAI,Wagon/Perua,SP,2017,82032.0
RENAULT LOGAN,28900,RENAULT,Hatch,SP,2014,76615.0
FIAT SIENA,15900,FIAT,Hatch,SP,2009,156688.0
VOLKSWAGEN FOX,30900,VOLKSWAGEN,Hatch,SP,2013,106100.0
VOLKSWAGEN JETTA,58900,VOLKSWAGEN,Utilitário,SP,2014,85000.0
FORD KA,38900,FORD,Hatch,SP,2019,59000.0
CHEVROLET CELTA,20900,CHEVROLET,Hatch,SP,2012,110585.0
TOYOTA ETIOS,37790,TOYOTA,Hatch,SP,2014,7144.0
HYUNDAI HB20,37800,HYUNDAI,Hatch,SP,2019,19000.0
FIAT UNO,32890,FIAT,Hatch,SP,2019,27000.0
HONDA CIVIC,39890,HONDA,Sedan,SP,2011,120000.0
TOYOTA COROLLA,107990,TOYOTA,Hatch,SP,2020,0.0
JEEP RENEGADE,61900,JEEP,SUV,SP,2017,40000.0
TOYOTA HILUX,104000,TOYOTA,Picape,SP,2012,127112.0
HONDA CITY,36000,HONDA,Sedan,SP,2010,83282.0
FORD ECOSPORT,42000,FORD,SUV,SP,2014,99000.0
HONDA CIVIC,62890,HONDA,Sedan,SP,2015,105107.0
FORD ECOSPORT,27000,FORD,Picape,SP,2009,127344.0
CHEVROLET CELTA,21900,CHEVROLET,Hatch,SP,2011,160000.0
FIAT PALIO WEEKEND,36890,FIAT,Wagon/Perua,SP,2013,70411.0
CHEVROLET SPIN,32900,CHEVROLET,Hatch,SP,2013,76750.0
TOYOTA COROLLA,21900,TOYOTA,Hatch,SP,2003,179000.0
HYUNDAI SANTA FE,33900,HYUNDAI,Hatch,SP,2009,176836.0
FIAT UNO,21890,FIAT,Hatch,SP,2012,172000.0
TOYOTA COROLLA,66900,TOYOTA,Sedan,SP,2015,61060.0
FIAT UNO,18890,FIAT,Hatch,SP,2012,68031.0
FIAT UNO,28900,FIAT,Hatch,SP,2014,88977.0
HONDA CIVIC,49790,HONDA,Sedan,SP,2013,104480.0
TOYOTA COROLLA,26000,TOYOTA,Sedan,SP,2005,132343.0
CHEVROLET CLASSIC,17890,CHEVROLET,Sedan,SP,2011,87486.0
FORD KA,11990,FORD,Hatch,SP,2009,180000.0
CHEVROLET ONIX,38900,CHEVROLET,Hatch,SP,2018,40000.0
FORD KA,32750,FORD,Hatch,SP,2018,29000.0
FORD KA,14890,FORD,Hatch,SP,2008,96734.0
JEEP CHEROKEE,54000,JEEP,SUV,SP,2012,84000.0
CHEVROLET ONIX,37890,CHEVROLET,Hatch,SP,2016,49600.0
TOYOTA ETIOS,36990,TOYOTA,Sedan,SP,2013,70131.0
HONDA FIT,51000,HONDA,Hatch,SP,2017,57345.0
HYUNDAI HB20,39990,HYUNDAI,Hatch,SP,2018,15000.0
CHEVROLET CRUZE,37890,CHEVROLET,Sedan,SP,2012,115890.0
FORD FIESTA,43890,FORD,Hatch,SP,2017,31000.0
FORD ECOSPORT,35790,FORD,Utilitário,SP,2012,60206.0
RENAULT DUSTER,38980,RENAULT,SUV,SP,2014,32450.0
CHEVROLET VECTRA,29890,CHEVROLET,Sedan,SP,2011,137033.0
FIAT PALIO,12890,FIAT,Hatch,SP,2003,155657.0
HYUNDAI HB20,35900,HYUNDAI,Hatch,SP,2013,69800.0
HYUNDAI HB20,37790,HYUNDAI,Hatch,SP,2014,54052.0
HONDA FIT,36890,HONDA,Hatch,SP,2013,88460.0
FORD FIESTA,29900,FORD,Hatch,SP,2010,168715.0
CHEVROLET BLAZER,17890,CHEVROLET,Utilitário,SP,2000,189643.0
CHEVROLET COBALT,31900,CHEVROLET,Hatch,SP,2013,155004.0
TOYOTA COROLLA,52000,TOYOTA,Sedan,SP,2012,88000.0
HONDA CIVIC,36800,HONDA,Sedan,SP,2010,115350.0
HYUNDAI HB20,40500,HYUNDAI,Hatch,SP,2020,0.0
FORD KA+,37800,FORD,Sedan,SP,2018,18859.0
VOLKSWAGEN FUSCA,30000,VOLKSWAGEN,Hatch,SP,1968,66000.0
HONDA FIT,59890,HONDA,Hatch,SP,2017,26569.0
NISSAN VERSA,30790,NISSAN,Sedan,SP,2012,38520.0
FIAT PALIO WEEKEND,25900,FIAT,Wagon/Perua,SP,2010,150000.0
FIAT TORO,68880,FIAT,Esportivo,SP,2017,58752.0
VOLKSWAGEN GOL,19900,VOLKSWAGEN,Hatch,SP,2008,101000.0
HYUNDAI HB20,46990,HYUNDAI,Hatch,SP,2019,605.0
